match_id,team,player,x,y,outcome,body_part,shot_type
15978,Real Sociedad,Aritz Elustondo Irribaria,107.5,29.7,Goal,Left Foot,Open Play
15978,Real Sociedad,Juan Miguel Jiménez López,99.4,50.9,Wayward,Right Foot,Open Play
15978,Barcelona,Gerard Piqué Bernabéu,112.8,46.7,Off T,Head,Open Play
15978,Barcelona,Gerard Piqué Bernabéu,113.1,35.4,Saved,Right Foot,Open Play
15978,Barcelona,Ivan Rakitić,112.4,38.0,Off T,Head,Open Play
15978,Real Sociedad,Mikel Oyarzabal Ugarte,105.4,34.7,Saved,Left Foot,Open Play
15978,Barcelona,Ousmane Dembélé,111.0,31.5,Wayward,Head,Open Play
15978,Real Sociedad,Mikel Oyarzabal Ugarte,109.0,53.1,Off T,Right Foot,Open Play
15978,Barcelona,Lionel Andrés Messi Cuccittini,97.8,43.6,Saved,Left Foot,Open Play
15978,Real Sociedad,Theo Bernard François Hernández,112.1,25.9,Saved,Left Foot,Open Play
15978,Real Sociedad,Juan Miguel Jiménez López,107.6,34.0,Saved,Right Foot,Open Play
15978,Barcelona,Gerard Piqué Bernabéu,115.9,45.7,Saved,Head,Open Play
15978,Barcelona,Luis Alberto Suárez Díaz,115.8,41.8,Goal,Right Foot,Open Play
15978,Barcelona,Philippe Coutinho Correia,98.1,28.9,Saved,Right Foot,Open Play
15978,Barcelona,Ousmane Dembélé,104.8,39.4,Goal,Left Foot,Open Play
15978,Barcelona,Luis Alberto Suárez Díaz,112.4,49.3,Off T,Left Foot,Open Play
15978,Barcelona,Lionel Andrés Messi Cuccittini,97.6,47.7,Off T,Left Foot,Open Play
15978,Real Sociedad,Juan Miguel Jiménez López,109.6,39.7,Off T,Head,Open Play
15978,Barcelona,Luis Alberto Suárez Díaz,106.6,41.4,Blocked,Right Foot,Open Play
15978,Real Sociedad,Mikel Merino Zazón,87.5,44.7,Blocked,Left Foot,Open Play
16023,Valencia,Ezequiel Marcelo Garay,118.8,42.7,Goal,Right Foot,Open Play
16023,Valencia,Michy Batshuayi Tunga,106.5,27.4,Saved,Left Foot,Open Play
16023,Valencia,Geoffrey Kondogbia,97.2,45.3,Off T,Left Foot,Open Play
16023,Valencia,Michy Batshuayi Tunga,98.9,39.7,Saved,Right Foot,Open Play
16023,Barcelona,Luis Alberto Suárez Díaz,77.1,78.0,Off T,Right Foot,Open Play
16023,Barcelona,Lionel Andrés Messi Cuccittini,95.8,47.7,Saved,Left Foot,Open Play
16023,Barcelona,Lionel Andrés Messi Cuccittini,96.8,40.4,Goal,Left Foot,Open Play
16023,Valencia,Denis Cheryshev,109.6,39.3,Blocked,Right Foot,Open Play
16023,Valencia,José Luis Gayà Peña,109.0,24.1,Off T,Left Foot,Open Play
16023,Barcelona,Jordi Alba Ramos,102.8,28.6,Blocked,Right Foot,Open Play
16023,Valencia,Denis Cheryshev,98.6,36.6,Off T,Left Foot,Open Play
16023,Barcelona,Philippe Coutinho Correia,101.2,24.1,Saved,Right Foot,Open Play
16023,Barcelona,Lionel Andrés Messi Cuccittini,114.5,26.9,Saved,Left Foot,Open Play
16023,Valencia,Daniel Parejo Muñoz,96.1,22.5,Off T,Right Foot,Open Play
16023,Valencia,Michy Batshuayi Tunga,97.8,38.8,Blocked,Left Foot,Open Play
16023,Valencia,Kevin Gameiro,108.9,55.9,Off T,Right Foot,Open Play
16023,Barcelona,Lionel Andrés Messi Cuccittini,89.8,50.0,Off T,Left Foot,Free Kick
16023,Barcelona,Luis Alberto Suárez Díaz,101.5,22.1,Blocked,Right Foot,Open Play
16023,Barcelona,Lionel Andrés Messi Cuccittini,111.0,29.4,Off T,Right Foot,Open Play
16023,Barcelona,Lionel Andrés Messi Cuccittini,98.5,32.0,Saved,Right Foot,Open Play
16095,Levante UD,Emmanuel Okyere Boateng,109.2,55.2,Saved,Right Foot,Open Play
16095,Barcelona,Thomas Vermaelen,109.6,35.5,Off T,Head,Open Play
16095,Barcelona,Lionel Andrés Messi Cuccittini,95.6,40.7,Off T,Left Foot,Open Play
16095,Levante UD,Rubén Rochina Naixes,91.1,56.1,Blocked,Left Foot,Open Play
16095,Barcelona,Lionel Andrés Messi Cuccittini,94.7,50.2,Saved,Left Foot,Free Kick
16095,Levante UD,Rubén Rochina Naixes,93.6,56.4,Blocked,Left Foot,Free Kick
16095,Levante UD,Emmanuel Okyere Boateng,112.1,33.1,Post,Left Foot,Open Play
16095,Levante UD,José Ángel Gómez Campaña,107.3,26.5,Blocked,Left Foot,Open Play
16095,Barcelona,Lionel Andrés Messi Cuccittini,100.0,33.8,Blocked,Left Foot,Open Play
16095,Barcelona,Luis Alberto Suárez Díaz,109.7,40.9,Goal,Right Foot,Open Play
16095,Levante UD,José Luis Morales Nogales,114.2,25.6,Blocked,Right Foot,Open Play
16095,Levante UD,Erick Cathriel Cabaco Almada,112.5,37.6,Saved,Head,Open Play
16095,Barcelona,Ivan Rakitić,90.9,57.6,Off T,Right Foot,Open Play
16095,Barcelona,Lionel Andrés Messi Cuccittini,111.4,49.0,Goal,Right Foot,Open Play
16095,Barcelona,Lionel Andrés Messi Cuccittini,103.6,38.4,Goal,Left Foot,Open Play
16095,Levante UD,Antonio García Aranda,104.3,24.2,Saved,Left Foot,Open Play
16095,Levante UD,Enis Bardhi,91.4,49.3,Off T,Left Foot,Open Play
