match_id,team,player,x,y,outcome,body_part,shot_type,is_goal,is_header,distance,angle,xG
15978,Real Sociedad,Aritz Elustondo Irribaria,107.5,29.7,Goal,Left Foot,Open Play,1,0,16.196913286178944,0.3522249391036161,0.09891848328599351
15978,Real Sociedad,Juan Miguel Jiménez López,99.4,50.9,Wayward,Right Foot,Open Play,0,0,23.306007809146543,0.2773009572907067,0.06735496349816776
15978,Barcelona,Gerard Piqué Bernabéu,112.8,46.7,Off T,Head,Open Play,0,1,9.835141076771604,0.5639314789500716,0.15636297694925452
15978,Barcelona,Gerard Piqué Bernabéu,113.1,35.4,Saved,Right Foot,Open Play,0,0,8.29276793356718,0.7394700600885248,0.1930057371009571
15978,Barcelona,Ivan Rakitić,112.4,38.0,Off T,Head,Open Play,0,1,7.858753081755394,0.8551679219374912,0.2157595226103105
15978,Real Sociedad,Mikel Oyarzabal Ugarte,105.4,34.7,Saved,Left Foot,Open Play,0,0,15.53222456700906,0.4385713137569019,0.110228473755512
15978,Barcelona,Ousmane Dembélé,111.0,31.5,Wayward,Head,Open Play,0,1,12.379418403139947,0.440229835303191,0.1261736891617215
15978,Real Sociedad,Mikel Oyarzabal Ugarte,109.0,53.1,Off T,Right Foot,Open Play,0,0,17.1058469536004,0.2807629485147402,0.0889445467760636
15978,Barcelona,Lionel Andrés Messi Cuccittini,97.8,43.6,Saved,Left Foot,Open Play,0,0,22.48999777678958,0.3187668780150805,0.0726873234955597
15978,Real Sociedad,Theo Bernard François Hernández,112.1,25.9,Saved,Left Foot,Open Play,0,0,16.16230181626368,0.2292407603390331,0.08831891180952119
15978,Real Sociedad,Juan Miguel Jiménez López,107.6,34.0,Saved,Right Foot,Open Play,0,0,13.775340286178055,0.4753080440052089,0.12280276606678131
15978,Barcelona,Gerard Piqué Bernabéu,115.9,45.7,Saved,Head,Open Play,0,1,7.021395872616782,0.6962431190166608,0.19559676283799315
15978,Barcelona,Luis Alberto Suárez Díaz,115.8,41.8,Goal,Right Foot,Open Play,1,0,4.569463863518346,1.3319987709632546,0.3449572169803154
15978,Barcelona,Philippe Coutinho Correia,98.1,28.9,Saved,Right Foot,Open Play,0,0,24.55239295873216,0.2655506155395605,0.06297118598081036
15978,Barcelona,Ousmane Dembélé,104.8,39.4,Goal,Left Foot,Open Play,1,0,15.211837495845138,0.4719131339524109,0.11520251089447045
15978,Barcelona,Luis Alberto Suárez Díaz,112.4,49.3,Off T,Left Foot,Open Play,0,0,12.010412149464308,0.4019928496690038,0.123804548315246
15978,Barcelona,Lionel Andrés Messi Cuccittini,97.6,47.7,Off T,Left Foot,Open Play,0,0,23.68649404196409,0.2909067017789224,0.0670876021792016
15978,Real Sociedad,Juan Miguel Jiménez López,109.6,39.7,Off T,Head,Open Play,0,1,10.404326023342412,0.6763105674291483,0.1683851810471593
15978,Barcelona,Luis Alberto Suárez Díaz,106.6,41.4,Blocked,Right Foot,Open Play,0,0,13.472935834479438,0.5281429367947676,0.1304265959805966
15978,Real Sociedad,Mikel Merino Zazón,87.5,44.7,Blocked,Left Foot,Open Play,0,0,32.838087642248595,0.2197833456239237,0.04127773031080366
16023,Valencia,Ezequiel Marcelo Garay,118.8,42.7,Goal,Right Foot,Open Play,1,0,2.954657340538835,2.059050367351234,0.5461975482643726
16023,Valencia,Michy Batshuayi Tunga,106.5,27.4,Saved,Left Foot,Open Play,0,0,18.46645607581487,0.2929562038682062,0.08475706409307786
16023,Valencia,Geoffrey Kondogbia,97.2,45.3,Off T,Left Foot,Open Play,0,0,23.407904647789383,0.3026360143868369,0.06869928743837549
16023,Valencia,Michy Batshuayi Tunga,98.9,39.7,Saved,Right Foot,Open Play,0,0,21.10213259365033,0.3434354424156256,0.07914440429420873
16023,Barcelona,Luis Alberto Suárez Díaz,77.1,78.0,Off T,Right Foot,Open Play,0,0,57.30977229059632,0.0957099244097027,0.01155678968880637
16023,Barcelona,Lionel Andrés Messi Cuccittini,95.8,47.7,Saved,Left Foot,Open Play,0,0,25.39547203735344,0.2734702387689296,0.061089267565919855
16023,Barcelona,Lionel Andrés Messi Cuccittini,96.8,40.4,Goal,Left Foot,Open Play,1,0,23.203448019637083,0.3128488701962648,0.07001240697999458
16023,Valencia,Denis Cheryshev,109.6,39.3,Blocked,Right Foot,Open Play,0,0,10.423531071570714,0.6742573257937055,0.16796019552110014
16023,Valencia,José Luis Gayà Peña,109.0,24.1,Off T,Left Foot,Open Play,0,0,19.33416664870767,0.2198000645133807,0.0761069861008059
16023,Barcelona,Jordi Alba Ramos,102.8,28.6,Blocked,Right Foot,Open Play,0,0,20.63492185592182,0.2963052644898783,0.07726253511698912
16023,Valencia,Denis Cheryshev,98.6,36.6,Off T,Left Foot,Open Play,0,0,21.668410186259635,0.3308122131713651,0.07626290302938148
16023,Barcelona,Philippe Coutinho Correia,101.2,24.1,Saved,Right Foot,Open Play,0,0,24.622144504490254,0.2280851598600581,0.060540892175187336
16023,Barcelona,Lionel Andrés Messi Cuccittini,114.5,26.9,Saved,Left Foot,Open Play,0,0,14.207744367069674,0.2104579505332567,0.09450935037124178
16023,Valencia,Daniel Parejo Muñoz,96.1,22.5,Off T,Right Foot,Open Play,0,0,29.621951319924896,0.1997704071738954,0.04691465391031508
16023,Valencia,Michy Batshuayi Tunga,97.8,38.8,Blocked,Left Foot,Open Play,0,0,22.232408776378687,0.3258794723229341,0.07402664806927686
16023,Valencia,Kevin Gameiro,108.9,55.9,Off T,Right Foot,Open Play,0,0,19.39123513343077,0.2204257983725451,0.07595964910492933
16023,Barcelona,Lionel Andrés Messi Cuccittini,89.8,50.0,Off T,Left Foot,Free Kick,0,0,31.81257612957492,0.2178510394586131,0.043189928088089455
16023,Barcelona,Luis Alberto Suárez Díaz,101.5,22.1,Blocked,Right Foot,Open Play,0,0,25.74218327958994,0.2056265163773445,0.05630948178786737
16023,Barcelona,Lionel Andrés Messi Cuccittini,111.0,29.4,Off T,Right Foot,Open Play,0,0,13.905394636614956,0.3509208549123069,0.10904380693522225
16023,Barcelona,Lionel Andrés Messi Cuccittini,98.5,32.0,Saved,Right Foot,Open Play,0,0,22.940139493908923,0.2977482287174589,0.06982343357412099
16095,Levante UD,Emmanuel Okyere Boateng,109.2,55.2,Saved,Right Foot,Open Play,0,0,18.646179233290663,0.2322265782273313,0.07939471926116624
16095,Barcelona,Thomas Vermaelen,109.6,35.5,Off T,Head,Open Play,0,1,11.331813623599716,0.5846951500017542,0.1498140822018246
16095,Barcelona,Lionel Andrés Messi Cuccittini,95.6,40.7,Off T,Left Foot,Open Play,0,0,24.41003891844501,0.2975439142494389,0.06536082170099088
16095,Levante UD,Rubén Rochina Naixes,91.1,56.1,Blocked,Left Foot,Open Play,0,0,33.0820192854064,0.1932499955540294,0.039759574285518594
16095,Barcelona,Lionel Andrés Messi Cuccittini,94.7,50.2,Saved,Left Foot,Free Kick,0,0,27.27874630550312,0.2482119749058199,0.05473879317808947
16095,Levante UD,Rubén Rochina Naixes,93.6,56.4,Blocked,Left Foot,Free Kick,0,0,31.079253530289307,0.2001630991482891,0.0438983762695607
16095,Levante UD,Emmanuel Okyere Boateng,112.1,33.1,Post,Left Foot,Open Play,0,0,10.489041900955495,0.5393028493486385,0.14901697345195586
16095,Levante UD,José Ángel Gómez Campaña,107.3,26.5,Blocked,Left Foot,Open Play,0,0,18.534832073693035,0.2744786788639832,0.0830415325235217
16095,Barcelona,Lionel Andrés Messi Cuccittini,100.0,33.8,Blocked,Left Foot,Open Play,0,0,20.93895890439637,0.3317082058476059,0.07883581769862232
16095,Barcelona,Luis Alberto Suárez Díaz,109.7,40.9,Goal,Right Foot,Open Play,1,0,10.339245620450264,0.67859266792864,0.16915364999087182
